subject,predicate,object
http://example.org/turing#AlanTuring,http://example.org/turing#birthDate,1912-06-23
http://example.org/turing#AlanTuring,http://example.org/turing#bornIn,http://example.org/turing#London
http://example.org/turing#AlanTuring,http://example.org/turing#deathDate,1954-06-07
http://example.org/turing#AlanTuring,http://example.org/turing#diedIn,http://example.org/turing#Wilmslow
http://example.org/turing#AlanTuring,http://example.org/turing#nationality,British
http://example.org/turing#AlanTuring,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/turing#Person
http://example.org/turing#AlanTuring,http://example.org/turing#hasOccupation,http://example.org/turing#Mathematician
http://example.org/turing#AlanTuring,http://example.org/turing#hasOccupation,http://example.org/turing#ComputerScientist
http://example.org/turing#AlanTuring,http://example.org/turing#hasOccupation,http://example.org/turing#Cryptanalyst
http://example.org/turing#AlanTuring,http://example.org/turing#proposed,http://example.org/turing#TuringMachine
http://example.org/turing#AlanTuring,http://example.org/turing#proposed,http://example.org/turing#TuringTest
http://example.org/turing#AlanTuring,http://example.org/turing#participatedIn,http://example.org/turing#WWIICodebreaking
http://example.org/turing#AlanTuring,http://example.org/turing#awarded,http://example.org/turing#OBE
http://example.org/turing#AlanTuring,http://example.org/turing#wrote,http://example.org/turing#OnComputableNumbers
http://example.org/turing#AlanTuring,http://example.org/turing#wrote,http://example.org/turing#ComputingMachineryAndIntelligence
http://example.org/turing#TuringMachine,http://example.org/turing#belongsTo,http://example.org/turing#ComputationTheory
http://example.org/turing#TuringTest,http://example.org/turing#belongsTo,http://example.org/turing#ArtificialIntelligence
http://example.org/turing#London,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/turing#Location
http://example.org/turing#Wilmslow,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/turing#Location
http://example.org/turing#Mathematician,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/turing#Occupation
http://example.org/turing#ComputerScientist,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/turing#Occupation
http://example.org/turing#Cryptanalyst,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/turing#Occupation
http://example.org/turing#TuringMachine,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/turing#Concept
http://example.org/turing#TuringTest,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/turing#Concept
http://example.org/turing#WWIICodebreaking,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/turing#Event
http://example.org/turing#OBE,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/turing#Award
http://example.org/turing#OnComputableNumbers,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/turing#Work
http://example.org/turing#ComputingMachineryAndIntelligence,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/turing#Work
http://example.org/turing#ComputationTheory,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/turing#Concept
http://example.org/turing#ArtificialIntelligence,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/turing#Concept
